Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,13280,,$0,$0,$0,$0,5,5,0,38,0,38,37,40,3,11,3,,,0.00,95
India,4758,,$0,$0,$0,$0,5,6,1,9,0,9,8,8,0,0,3,,,0.00,20
United Kingdom,3478,,$0,$0,$0,$0,1,1,0,17,1,16,5,8,3,5,1,,,0.00,34
Germany,1879,,$0,$0,$0,$0,1,1,0,7,0,7,2,2,0,0,1,,,0.00,10
Brazil,1769,,$0,$0,$0,$0,2,2,0,3,0,3,5,5,0,0,0,,,0.00,8
Canada,1763,,$0,$0,$0,$0,2,2,0,4,0,4,8,8,0,1,1,,,0.00,14
Italy,1466,,$0,$0,$0,$0,,,,2,0,2,3,3,0,0,0,,,0.00,5
Egypt,1092,,$0,$0,$0,$0,1,1,0,4,0,4,0,0,0,2,2,,,0.00,8
Saudi Arabia,1086,,$0,$0,$0,$0,1,1,0,1,0,1,1,1,0,0,1,,,0.00,3
Thailand,1051,,$0,$0,$0,$0,1,1,0,1,0,1,2,2,0,0,1,,,0.00,4
Australia,1009,,$0,$0,$0,$0,,,,6,0,6,6,6,0,3,0,,,0.00,15
Pakistan,1005,,$0,$0,$0,$0,2,2,0,4,0,4,1,1,0,0,1,,,0.00,6
Mexico,865,,$0,$0,$0,$0,,,,2,0,2,4,4,0,1,0,,,0.00,7
Malaysia,850,,$0,$0,$0,$0,1,1,0,2,0,2,1,1,0,1,1,,,0.00,5
Netherlands,819,,$0,$0,$0,$0,,,,1,0,1,2,2,0,1,0,,,0.00,4
France,782,,$0,$0,$0,$0,,,,3,0,3,0,0,0,0,0,,,0.00,3
Indonesia,726,,$0,$0,$0,$0,3,4,1,3,0,3,1,1,0,0,0,,,0.00,4
Spain,710,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Philippines,692,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Turkey,595,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Taiwan,581,,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Singapore,551,,$0,$0,$0,$0,,,,3,0,3,1,1,0,0,2,,,0.00,6
Belgium,471,,$0,$0,$0,$0,,,,2,0,2,0,0,0,1,0,,,0.00,3
Vietnam,462,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Portugal,459,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Ireland,456,,$0,$0,$0,$0,,,,2,0,2,1,1,0,0,0,,,0.00,3
South Korea,453,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,0,,,0.00,2
Sweden,433,,$0,$0,$0,$0,,,,2,0,2,0,0,0,0,0,,,0.00,2
Colombia,431,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,2,,,0.00,3
Uruguay,418,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Chile,409,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,0,,,0.00,2
Denmark,406,,$0,$0,$0,$0,1,1,0,1,0,1,3,3,0,0,0,,,0.00,4
Argentina,362,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Romania,355,,$0,$0,$0,$0,,,,4,0,4,1,1,0,0,0,,,0.00,5
Poland,354,,$0,$0,$0,$0,,,,1,0,1,2,2,0,1,0,,,0.00,4
Algeria,350,,$0,$0,$0,$0,1,1,0,0,0,0,1,1,0,0,0,,,0.00,1
Iraq,350,,$0,$0,$0,$0,,,,0,0,0,0,0,0,0,1,,,0.00,1
Peru,331,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
